 AgntStrts: ,20, EstInteractns: ,899, InteractnsHndld: ,892, HndlTme: ,10.67, ASR: ,41.92, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:17:15
 AgntStrts: ,22, EstInteractns: ,1039, InteractnsHndld: ,1015, HndlTme: ,10.62, ASR: ,73.06, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:17:22
 AgntStrts: ,20, EstInteractns: ,950, InteractnsHndld: ,911, HndlTme: ,10.6, ASR: ,72.65, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:17:30
 AgntStrts: ,20, EstInteractns: ,901, InteractnsHndld: ,867, HndlTme: ,11.18, ASR: ,69.52, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:17:38
 AgntStrts: ,17, EstInteractns: ,951, InteractnsHndld: ,942, HndlTme: ,8.57, ASR: ,59.55, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:17:45
 AgntStrts: ,18, EstInteractns: ,962, InteractnsHndld: ,911, HndlTme: ,9.47, ASR: ,71.65, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:17:52
 AgntStrts: ,21, EstInteractns: ,937, InteractnsHndld: ,934, HndlTme: ,10.75, ASR: ,43.36, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:17:59
 AgntStrts: ,20, EstInteractns: ,962, InteractnsHndld: ,926, HndlTme: ,10.47, ASR: ,73.73, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:18:6
 AgntStrts: ,18, EstInteractns: ,913, InteractnsHndld: ,863, HndlTme: ,9.98, ASR: ,71.13, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:18:12
 AgntStrts: ,17, EstInteractns: ,1022, InteractnsHndld: ,1011, HndlTme: ,7.98, ASR: ,57.72, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:18:18
 AgntStrts: ,19, EstInteractns: ,965, InteractnsHndld: ,963, HndlTme: ,9.45, ASR: ,47.32, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:18:23
 AgntStrts: ,23, EstInteractns: ,1061, InteractnsHndld: ,1073, HndlTme: ,10.4, ASR: ,35.65, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:18:30
 AgntStrts: ,21, EstInteractns: ,1020, InteractnsHndld: ,949, HndlTme: ,10.82, ASR: ,88.11, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:18:35
 AgntStrts: ,19, EstInteractns: ,1017, InteractnsHndld: ,1024, HndlTme: ,8.97, ASR: ,47.82, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:18:41
 AgntStrts: ,19, EstInteractns: ,1059, InteractnsHndld: ,1072, HndlTme: ,8.6, ASR: ,52.79, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:18:46
 AgntStrts: ,20, EstInteractns: ,889, InteractnsHndld: ,854, HndlTme: ,11.33, ASR: ,72.87, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:18:51
 AgntStrts: ,22, EstInteractns: ,1072, InteractnsHndld: ,1082, HndlTme: ,9.85, ASR: ,45.03, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:18:57
 AgntStrts: ,18, EstInteractns: ,925, InteractnsHndld: ,871, HndlTme: ,9.85, ASR: ,70.84, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:19:5
 AgntStrts: ,19, EstInteractns: ,981, InteractnsHndld: ,959, HndlTme: ,9.78, ASR: ,79.01, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:19:12
 AgntStrts: ,19, EstInteractns: ,1092, InteractnsHndld: ,1093, HndlTme: ,8.35, ASR: ,44.45, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:19:17
 AgntStrts: ,18, EstInteractns: ,1014, InteractnsHndld: ,961, HndlTme: ,8.98, ASR: ,71.96, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:19:24
 AgntStrts: ,21, EstInteractns: ,1041, InteractnsHndld: ,930, HndlTme: ,11.05, ASR: ,103.73, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:19:30
 AgntStrts: ,19, EstInteractns: ,1010, InteractnsHndld: ,945, HndlTme: ,9.97, ASR: ,98.58, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:19:36
 AgntStrts: ,18, EstInteractns: ,902, InteractnsHndld: ,849, HndlTme: ,10.1, ASR: ,69.32, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:19:40
 AgntStrts: ,17, EstInteractns: ,1068, InteractnsHndld: ,999, HndlTme: ,8.08, ASR: ,82.82, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:19:46
 AgntStrts: ,22, EstInteractns: ,1023, InteractnsHndld: ,1003, HndlTme: ,10.78, ASR: ,67.77, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:19:51
 AgntStrts: ,21, EstInteractns: ,977, InteractnsHndld: ,904, HndlTme: ,11.28, ASR: ,85.04, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:19:55
 AgntStrts: ,20, EstInteractns: ,967, InteractnsHndld: ,931, HndlTme: ,10.42, ASR: ,71.16, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:20:0
 AgntStrts: ,15, EstInteractns: ,909, InteractnsHndld: ,791, HndlTme: ,9.5, ASR: ,116.3, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:20:5
 AgntStrts: ,17, EstInteractns: ,1028, InteractnsHndld: ,964, HndlTme: ,8.4, ASR: ,81.05, EstUtil: ,1.0, Tmestmp: ,12/20/2023 15:20:10
